Country,Pollutant,Variable,Year,Unit,Emissions
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,10.727
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,10.704
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,10.394
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,9.489
Total,Greenhouse gases,Total GHG incl. LULUCF per capita,2021,Thousands of Kilogram per capita,9.895
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,-1.289
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,-1.041
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,-0.93
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,-0.694
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,-0.486
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,-0.216
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,0.254
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,0.5
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,1.793
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,1.069
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,0.344
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,0.2
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,0.957
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,0.176
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,0.879
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,1.015
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,0.955
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,2.229
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,2.228
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,1.828
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,1.369
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,1.833
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,2.477
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,2.039
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,2.261
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,3.149
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,2.512
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,6.672
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,3.087
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,3.27
Chile,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,2.869
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,16.205
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,14.749
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,13.919
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,13.702
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,13.488
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,13.437
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,13.687
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,13.241
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,12.938
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,12.462
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,12.651
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,12.692
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,12.796
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,12.682
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,12.39
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,12.039
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,12.052
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,11.777
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,11.735
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,10.845
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,11.369
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,11.195
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,11.139
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,11.374
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,10.921
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,10.84
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,10.745
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,10.536
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,10.114
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,9.481
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,8.84
Germany,Greenhouse gases,Total GHG incl. LULUCF per capita,2021,Thousands of Kilogram per capita,9.195
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,2.938
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1991,Thousands of Kilogram per capita,2.962
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1992,Thousands of Kilogram per capita,3.019
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1993,Thousands of Kilogram per capita,3.485
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,3.569
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1995,Thousands of Kilogram per capita,3.476
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1996,Thousands of Kilogram per capita,3.622
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1997,Thousands of Kilogram per capita,2.977
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1998,Thousands of Kilogram per capita,2.953
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,1999,Thousands of Kilogram per capita,2.555
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,2.27
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,2.252
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,2.425
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,2.764
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,2.948
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,2.564
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,1.737
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,1.828
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,1.582
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,1.127
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,1.502
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,0.936
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,0.615
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,0.627
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,0.599
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,0.729
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,0.832
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,1.369
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,1.605
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2019,Thousands of Kilogram per capita,1.202
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2020,Thousands of Kilogram per capita,0.476
Sweden,Greenhouse gases,Total GHG incl. LULUCF per capita,2021,Thousands of Kilogram per capita,0.586
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,1990,Thousands of Kilogram per capita,8.977
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,1994,Thousands of Kilogram per capita,8.905
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2000,Thousands of Kilogram per capita,9.883
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2001,Thousands of Kilogram per capita,10.041
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2002,Thousands of Kilogram per capita,10.182
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2003,Thousands of Kilogram per capita,10.302
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2004,Thousands of Kilogram per capita,10.693
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2005,Thousands of Kilogram per capita,10.862
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2006,Thousands of Kilogram per capita,10.611
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2007,Thousands of Kilogram per capita,10.95
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2008,Thousands of Kilogram per capita,10.977
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2009,Thousands of Kilogram per capita,10.936
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2010,Thousands of Kilogram per capita,10.273
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2011,Thousands of Kilogram per capita,9.945
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2012,Thousands of Kilogram per capita,10.015
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2013,Thousands of Kilogram per capita,9.678
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2014,Thousands of Kilogram per capita,9.238
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2015,Thousands of Kilogram per capita,8.957
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2016,Thousands of Kilogram per capita,8.537
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2017,Thousands of Kilogram per capita,8.422
South Africa,Greenhouse gases,Total GHG incl. LULUCF per capita,2018,Thousands of Kilogram per capita,8.474
